Address
13001 Liberty Ave South Richmond Hill,  NY
Oxbow Rd Canastota,  NY
Chittenango Trailer Park Chittenango,  NY
164 Clinton Ave Cortland,  NY
184 Homer Ave Cortland,  NY
2078 State Route 481 Fulton,  NY
119 W Seneca St Manlius,  NY
17 Arabel St Oswego,  NY
104 East Oswego,  NY
3830 State Route 13 Pulaski,  NY
40 Fennell St Skaneateles,  NY
1963 Kingdom Plz Waterloo,  NY
4141 S Salina St Syracuse,  NY
181 Shop City Plz Syracuse,  NY
4410 E Genesee St Syracuse,  NY
2120 W Genesee St Syracuse,  NY
PO Box 4965 Syracuse,  NY
State Route 13 Camden,  NY
2 To 5 Commons Dr Rt 28 Cooperstown,  NY
5 Commons Dr Cooperstown,  NY
Lowville Plz Lowville,  NY
217 Erie Blvd W Rome,  NY
Harte Haven Shopping Ctr Watertown,  NY
1222 Arsenal St Watertown,  NY
Seaway Shopping Ctr Watertown,  NY
111 E Main St Canton,  NY
62 High St Carthage,  NY
50 High St Carthage,  NY
389 E Main St Gouverneur,  NY
Ogdensburg Seaway Shopping Ctr Massena,  NY
152 Harte Haven Plz Massena,  NY
PO Box 1365 Ogdensburg,  NY
179 Market St Potsdam,  NY
Watkins Gln S Franklin,  NY
1145 State Route 17c Owego,  NY
PO Box 1365 Keuka Park,  NY
415 W Morris St # And Bath,  NY
Route 415 Bath,  NY
18 Park Dr Hornell,  NY
N Triphammer Rd Ithaca,  NY
E Hills Plz Ithaca,  NY
S Franklin Watkins Glen,  NY
Southtown Plz Elmira,  NY
Rt 415 Morris Elmira,  NY
1600 Cedar St Elmira,  NY
38 Valley Farm Rd Pottersville,  NY
Bartell Katham Rds Brewerton,  NY
PO Box 332 Brewerton,  NY
7840 Oxbow Rd Canastota,  NY
1403 State Route 49 Constantia,  NY
Cor Kirkville Fly Rds East Syracuse,  NY
8270 Manlius Cazenovia Rd Manlius,  NY
Fay Rd Cor Onondaga Blvd Syracuse,  NY
3781 W Seneca Tpke Syracuse,  NY
8446 Mill Pond Way Blossvale,  NY
Protection Ave Herkimer,  NY
20 Central Ave Ilion,  NY
8446 Mill Pond Way Mc Connellsville,  NY
4862 Commercial Dr New York Mills,  NY
5254 W Seneca St Vernon,  NY
1262 Culver Ave Utica,  NY
PO Box 378 Utica,  NY
1651 Quaker Rd Barker,  NY
1425 S Main St Medina,  NY
1769 St New York,  NY
4365 Broadway W 187th St New York,  NY
43 Columbia St New York,  NY
459 Forest Ave Staten Island,  NY
1200 South Ave Ste 103 Staten Island,  NY
1791 Walton Ave Bronx,  NY
3151 Westchester Ave Bronx,  NY
751 Lydig Ave Bronx,  NY
540 W 235th St Bronx,  NY
4171 White Plains Rd Bronx,  NY
3515 Jerome Ave Bronx,  NY
35 Pleasantville Rd Pleasantville,  NY
151 Covert Ave Floral Park,  NY
3221 Newtown Ave Astoria,  NY
4215 30th Ave Astoria,  NY
2215 31st St Astoria,  NY
369 Flatbush Avenue Ext Brooklyn,  NY
169 Atlantic Ave Brooklyn,  NY
106 Montague St Brooklyn,  NY
102 Montague St Brooklyn,  NY
9408 3rd Ave Brooklyn,  NY
2326 Nostrand Ave Brooklyn,  NY
575 Grand St Brooklyn,  NY
800 Rockaway Ave Brooklyn,  NY
589 Prospect Ave Brooklyn,  NY
130 7th Ave Brooklyn,  NY
1144 Fulton St Brooklyn,  NY
1533 Broadway Brooklyn,  NY
319 Kings Hwy Brooklyn,  NY
599 Avenue Z Brooklyn,  NY
505 Neptune Ave Brooklyn,  NY
2245 Gerritsen Ave Brooklyn,  NY
1407 Foster Ave Brooklyn,  NY
1804 Ralph Ave Brooklyn,  NY
2066 Rockaway Pkwy Brooklyn,  NY
2503 Parsons Blvd Flushing,  NY
14241 Roosevelt Ave Flushing,  NY
15355 Cross Island Pkwy Whitestone,  NY
17221 46th Ave Flushing,  NY
241 38th Rd Little Neck,  NY
6150 Springfield Blvd Oakland Gardens,  NY
21414 73rd Ave Oakland Gardens,  NY
7301 37th Ave Jackson Heights,  NY
10827 Queens Blvd Forest Hills,  NY
10502 Queens Blvd Forest Hills,  NY
11634 Queens Blvd Forest Hills,  NY
6110 Queens Blvd Woodside,  NY
5915 Roosevelt Ave Woodside,  NY
8725 Lefferts Blvd Richmond Hill,  NY
11411 Lefferts Blvd South Ozone Park,  NY
14366 243rd St Rosedale,  NY
21322 Jamaica Ave Queens Village,  NY
16602 Baisley Blvd Jamaica,  NY
13837 Queens Blvd Jamaica,  NY
14827 Jamaica Ave Jamaica,  NY
153 7th St Garden City,  NY
1030 Railroad Ave Woodmere,  NY
2020 New Haven Ave Far Rockaway,  NY
1517 Broadway St Buffalo,  NY
1470 Orchard Park Rd Buffalo,  NY
701 Saw Mill River Rd Yonkers,  NY
371 Riverhead Rd Westhampton Beach,  NY
9 Lower Main St Callicoon,  NY
9 Proctor Rd Eldred,  NY
Livingston Manor,  NY
227 Cherry Rudgers Slip New York,  NY
22 Cherry St New York,  NY
160 E 125th St New York,  NY
961 E 174 Staten Island,  NY
1351 Forest Ave Staten Island,  NY
2730 Arthur Kill Rd Ste 1 Staten Island,  NY
130 Midland Ave Port Chester,  NY
138 Midland Ave Port Chester,  NY
2500 Central Park Ave Yonkers,  NY
1757 Central Park Ave Yonkers,  NY
460 Franklin Ave Franklin Square,  NY
2305 Jericho Tpke New Hyde Park,  NY
2335 New Hyde Park Rd New Hyde Park,  NY
11110 Flatlands Ave Brooklyn,  NY
2965 Cropsey Ave Brooklyn,  NY
3106 Farrington St Flushing,  NY
9202 Atlantic Ave Ozone Park,  NY
130 Wheatley Plz Greenvale,  NY
1251 Deer Park Ave North Babylon,  NY
531 W Montauk Hwy West Babylon,  NY
2060 Sunrise Hwy Bay Shore,  NY
3901 Hempstead Tpke Bethpage,  NY
101 Wicks Rd Brentwood,  NY
683 Old Country Rd Huntington Station,  NY
4055 Merrick Rd Seaford,  NY
Montauk Hwy Shirley,  NY
776 Bleecker St Utica,  NY
499 Park Ave Ste 600 New York,  NY
1994 Bruckner Blvd Bronx,  NY
151 Covert Ave Elmont,  NY
120 5th Ave Brooklyn,  NY
224 Mcguinness Blvd Brooklyn,  NY
24 Mcguinness Blvd Brooklyn,  NY
7000 New Utrecht Ave Brooklyn,  NY
4320 5th Ave Brooklyn,  NY
8310 Rockaway Blvd Ozone Park,  NY
12312 101st Ave South Richmond Hill,  NY
2300 15th St Troy,  NY
747 Bedford Rd Mount Kisco,  NY
25-43 Prospect St Ste 6 Yonkers,  NY
480 State Route 42 Monticello,  NY
7 Avenue D E Houston St New York,  NY
7 Avenue D New York,  NY
289 Columbus Ave New York,  NY
2407 Broadway New York,  NY
2076 1st Ave New York,  NY
1407 Lexington Ave New York,  NY
2262 Jerome Ave Bronx,  NY
256 Saint Anns Ave Bronx,  NY
1869 Archer St Bronx,  NY
1345 Castle Hill Ave Bronx,  NY
777 Morris Park Ave Bronx,  NY
694 Burke Ave Bronx,  NY
2711 White Plains Rd Bronx,  NY
445 Dekalb Ave Brooklyn,  NY
381 Mother Gaston Blvd Brooklyn,  NY
5612 5th Ave Brooklyn,  NY
822 Franklin Ave Brooklyn,  NY
395 Court St Brooklyn,  NY
5155 Van Kleeck St Apt 2g Elmhurst,  NY
9002 43rd Ave Elmhurst,  NY
9901 63rd Rd Rego Park,  NY
6617 Grand Ave Maspeth,  NY
8412 97th Ave Ozone Park,  NY
17535 Hillside Ave Jamaica,  NY
6401 Fresh Pond Rd Ridgewood,  NY
2230 Watt St Schenectady,  NY
2330 Watt St Schenectady,  NY
326 W Delavan Ave Buffalo,  NY
Middletown,  NY
Poughkeepsie,  NY
Glens Falls,  NY
Saratoga Springs,  NY
Binghamton,  NY
Niagara Falls,  NY
Whitesville,  NY
100 Broadway Albany,  NY
107 Jersey Ave Port Jervis,  NY
232 Groton City Rd Cortland,  NY
22 Locust St Waterloo,  NY
220 S Geddes St Syracuse,  NY
19 River St Fort Plain,  NY
10833 Gowanda State Rd North Collins,  NY
3640 Delaware Ave Buffalo,  NY
1234 Abbott Rd Buffalo,  NY
2316 Pine Ave Niagara Falls,  NY
3929 Williams Rd Niagara Falls,  NY
320 West Ave Albion,  NY
9503 Airport Plz Dansville,  NY
35 Church St Salamanca,  NY
61 W Main St Trumansburg,  NY
501 7 Ave W 37th St New York,  NY
501 7th Ave At W 37th St New York,  NY
225 W 42 7th Ave New York,  NY
423 Madison Ave New York,  NY
520 8th Ave New York,  NY
736 7th Ave New York,  NY
906 3rd Ave New York,  NY
307 W 26th St New York,  NY
8231 1 Ave New York,  NY
355 1st Ave New York,  NY
823 11th Ave Fl 3 New York,  NY
80 W End Ave New York,  NY
265 W 87th St New York,  NY
1245 Park Ave New York,  NY
1343 Lexington Ave New York,  NY
81 W 162nd St Bronx,  NY
PO Box 173 Baldwinsville,  NY
PO Box 1297 Cicero,  NY
Mclean And Tompkins Street Ext Cortland,  NY
7872 Manlius Center Rd East Syracuse,  NY
176 Main St Groton,  NY
Us Hwy 20 Richfield Springs,  NY
1269 Ruie Rd North Tonawanda,  NY
4205 Delaware Ave Tonawanda,  NY
2309 Colvin Blvd Tonawanda,  NY
1779 Clinton St Buffalo,  NY
3724 Harlem Rd Buffalo,  NY
2260 Elmwood Ave Buffalo,  NY
1131 Ridge Rd Buffalo,  NY
30 Geneva St Lyons,  NY
W Main Wolcott,  NY
101 Dunning Rd Middletown,  NY
511 Schutt Road Ext Middletown,  NY
Floral Park,  NY
141 Sanford Ave Amsterdam,  NY
141 Sanford Farms Shopping Ctr Amsterdam,  NY
4943 State Highway 30 Amsterdam,  NY
1 Kendall Way Ballston Spa,  NY
Route 66 Chatham,  NY
Jamesway Plaza Barnersville Rd Cobleskill,  NY
Barnerville Rd Cobleskill,  NY
East Greenbush,  NY
Route 146 Clifton Park,  NY
Rt 9w Glenmont Rd Glenmont,  NY
358 N Main St Gloversville,  NY
12 N Comrie Ave Johnstown,  NY
1355 New Scotland Rd Slingerlands,  NY
79 Vandenburgh Ave Troy,  NY
716 Hoosick Rd Troy,  NY
865 2nd Ave Troy,  NY
1804 2nd Ave Watervliet,  NY
Rt 155 20 Albany,  NY
444 Broadway Albany,  NY
911 Central Ave Albany,  NY
40 Delaware Ave Albany,  NY
475 Albany Shaker Rd Albany,  NY
501 Duanesburg Rd Schenectady,  NY
138 Ulster Ave Saugerties,  NY
Vails Gate Shopping Ctr Newburgh,  NY
432 South Rd Ste 21 Poughkeepsie,  NY
84 Cooper St Glens Falls,  NY
8648 State Route 22 Granville,  NY
Lake George,  NY
19 Railroad Pl Saratoga Springs,  NY
19 Centre Dr Plattsburgh,  NY
860 State Route 11 Champlain,  NY
53 Finney Blvd Malone,  NY
12 W 1st St S Fulton,  NY
3863 State Route 31 Liverpool,  NY
293 State Route 104 Oswego,  NY
4713 Onondaga Blvd Syracuse,  NY
2515 Erie Blvd E Syracuse,  NY
142 Genesee St Ste 5 Oneida,  NY
1 W Main St Richfield Springs,  NY
1790 Black River Blvd N Rome,  NY
N Utica Shopping Ctr Utica,  NY
1283 Arsenal St Watertown,  NY
Cor Rte 81 Arsenal Watertown,  NY
981 Ford St Ogdensburg,  NY
3 Main St Delhi,  NY
911 North St Endicott,  NY
12 State St Norwich,  NY
5631 State Highway 12 Norwich,  NY
1 State St Norwich,  NY
State Highway 12 Norwich,  NY
1000 Main St Oneonta,  NY
42 W Main St Owego,  NY
10 Glenwood Ave Ste 5 Binghamton,  NY
1307 St New York,  NY
1307 Madison Av E 92nd St New York,  NY
1 Loop Rd Auburn,  NY
7952 Brewerton Rd Cicero,  NY
Onondaga Store East Syracuse,  NY
4722 Onondaga Rd Onondaga East Syracuse,  NY
3955 Route 31 Great Northern East Syracuse,  NY
6789 E Genesee St Fayetteville,  NY
4979 W Taft Rd Liverpool,  NY
7519 Oswego Rd Liverpool,  NY
7518 Oswego Rd Liverpool,  NY
3955 State Route 31 Liverpool,  NY
3953 State Route 31 Liverpool,  NY
4722 Onondaga Blvd Syracuse,  NY
3577 W Genesee St Syracuse,  NY
651 Dick Rd Depew,  NY
4960 Transit Rd Depew,  NY
Sub Shop Buffalo,  NY
3740 Mckinley Pkwy Buffalo,  NY
5275 Sheridan Dr Buffalo,  NY
370 Orchard Park Rd Buffalo,  NY
2001 Walden Ave Buffalo,  NY
675 Alberta Dr Buffalo,  NY
3135 Niagara Falls Blvd Buffalo,  NY
1577 Military Rd Niagara Falls,  NY
6660 4th Section Rd Brockport,  NY
PO Box 844 Canandaigua,  NY
345 Eastern Blvd Canandaigua,  NY
6600 Pittsford Palmyra Rd Fairport,  NY
4276 Lakeview Dr Geneseo,  NY
4276 Lakeville Rd Geneseo,  NY
4283 Genesee Valley Plz Geneseo,  NY
300 Hamilton St Geneva,  NY
Newark Plz Newark,  NY
Eastway Store Newark,  NY
Holt Road Store Newark,  NY
2157 Penfield Rd Penfield,  NY
213 Cedar Cir Spencerport,  NY
PO Box 844 Webster,  NY
924 Copperkettle Rd Webster,  NY
Fairport Rd E Rochester,  NY
945 Fairmount Ave W Rochester,  NY
3701 Mount Read Blvd Rochester,  NY
353 Stowell Dr Rochester,  NY
525 Titus Ave Rochester,  NY
3195 Monroe Ave Rochester,  NY
94 Alliance Ave Rochester,  NY
21 Suter Ter Rochester,  NY
3131 Winton Rd S Rochester,  NY
2599 E Henrietta Rd Rochester,  NY
745 Calkins Rd Rochester,  NY
650 Hylan Dr Rochester,  NY
1885 Chili Ave Rochester,  NY
1500 Brooks Ave Rochester,  NY
3175 Chili Ave Rochester,  NY
1214 Brooks Ave Rochester,  NY
2200 Ridge Rd W Rochester,  NY
2835 Ridge Rd W Rochester,  NY
2833 Ridge Rd W Rochester,  NY
945 Fairmount Ave Jamestown,  NY
1 Bridge St Corning,  NY
1000 State Route 36 Hornell,  NY
500 S Meadow St Ithaca,  NY
317 27th Ave Astoria,  NY
525 E 7th St Brooklyn,  NY
1859 Archer St Bronx,  NY
2552 Linden Blvd Brooklyn,  NY
2640 Nostrand Ave Brooklyn,  NY
8123 Flatlands Ave Brooklyn,  NY
10301 Northern Blvd Corona,  NY
15711 Linden Blvd Jamaica,  NY
1416 Cornaga Ave Far Rockaway,  NY
2424 Hylan Blvd Staten Island,  NY
985 Richmond Ave Staten Island,  NY
747 Bedford Rd Bedford Hills,  NY
178 Route 52 Carmel,  NY
176 Gleneida Ave Carmel,  NY
490 S Riverside Ave Croton On Hudson,  NY
Main St Peekskill,  NY
960 Broadway Thornwood,  NY
278 Tuckahoe Rd Yonkers,  NY
250 Route 59 Suffern,  NY
38 W Ramapo Rd Garnerville,  NY
56 W Ramapo Rd Garnerville,  NY
20 Lloyds Ln Middletown,  NY
125 Dolson Ave Middletown,  NY
66 N Main St New City,  NY
26 N Middletown Rd Pearl River,  NY
153 Route 94 S Warwick,  NY
243 Route 59 West Nyack,  NY
253 Route 59 West Nyack,  NY
1080 Mcdonald Ave Brooklyn,  NY
54 Route 109 West Babylon,  NY
1905 Sunrise Hwy Bay Shore,  NY
335 Smithtown Byp Hauppauge,  NY
444 Woodbury Rd Plainview,  NY
1054 Old Country Rd Plainview,  NY
801 Miron Ln Kingston,  NY
Route 209 Ellenville,  NY
19 Fairview Ave Hudson,  NY
88 N Plank Rd Ste 1 Newburgh,  NY
52 Route 17k Newburgh,  NY
263 Main St New Paltz,  NY
1895 South Rd Poughkeepsie,  NY
131 State Route 52 E Liberty,  NY
23 Prospect St Greenwich,  NY
1350 Fillmore Ave Buffalo,  NY
135 Babylon Tpke Roosevelt,  NY
265 Macedon Center Rd Fairport,  NY
3215 Chili Ave Rochester,  NY
1694 Boston Rd Bronx,  NY
4008 Queens Blvd Sunnyside,  NY
7252 State Fair Blvd Syracuse,  NY
8178 Golden Oak Cir Buffalo,  NY
3709 Mill St Marion,  NY
3732 S Main St Marion,  NY
3736 S Main St Marion,  NY
Route 59 Nyack,  NY
3008 30th Ave Astoria,  NY
3711 Ditmars Blvd Astoria,  NY
2220 36th Ave Astoria,  NY
2355 Broadway Astoria,  NY
950 Mcdonald Ave Brooklyn,  NY
9910 Astoria Blvd East Elmhurst,  NY
7914 21st Ave East Elmhurst,  NY
8902 37th Ave Jackson Heights,  NY
7507 37th Ave Jackson Heights,  NY
11040 Queens Blvd Forest Hills,  NY
4911 30th Ave Woodside,  NY
13010 Metropolitan Ave Richmond Hill,  NY
2754 Hylan Blvd Staten Island,  NY
2795 Richmond Ave Staten Island,  NY
5716 Broadway Bronx,  NY
3548 Bronx Blvd Bronx,  NY
691 Co Op City Blvd Bronx,  NY
753 Co Op City Blvd Bronx,  NY
80 Route 6 Baldwin Place,  NY
390 Broadway Dobbs Ferry,  NY
1326 Boston Post Rd Larchmont,  NY
240 E Sandford Blvd Mount Vernon,  NY
64 Gramatan Ave Mount Vernon,  NY
246 S Highland Ave Ossining,  NY
1831 Main St Peekskill,  NY
25 Waterfront Pl Port Chester,  NY
142 Pearl St Port Chester,  NY
350 S Broadway Tarrytown,  NY
154 Westchester Ave White Plains,  NY
670 N Broadway White Plains,  NY
1300 Midland Ave Yonkers,  NY
111 Vredenburgh Ave Yonkers,  NY
420 White Plains Rd Eastchester,  NY
2425 Palmer Ave New Rochelle,  NY
28 Harrison St New Rochelle,  NY
330 Route 211 E Middletown,  NY
475 Stage Rd Monroe,  NY
32 S Middletown Rd Nanuet,  NY
57 E Route 59 Nanuet,  NY
1581 Pacesetter Park Plz Pomona,  NY
1581 Route 202 Pomona,  NY
60 Brotherhood Plaza Dr Washingtonville,  NY
7 N Route 9w West Haverstraw,  NY
320 Route 59 West Nyack,  NY
653 Hillside Ave New Hyde Park,  NY
65 Shore Rd Port Washington,  NY
34 51 48 Long Island City,  NY
3451 48th Street Sunnyside,  NY
675 Dekalb Ave Brooklyn,  NY
5424 7th Ave Brooklyn,  NY
1009 Flatbush Ave Brooklyn,  NY
1009 Flatbush Ave Ste 3 Brooklyn,  NY
1710 Avenue Y Brooklyn,  NY
24926 Northern Blvd Little Neck,  NY
74 17 Grand Av Elmhurst,  NY
7417 Grand Ave Elmhurst,  NY
7417 Grand Avenue Maspeth,  NY
64 65 Myrtle Av Ridgewood,  NY
8989 Union Tpke Ridgewood,  NY
25212 82nd Dr Bellerose,  NY
95 Old Country Rd Carle Place,  NY
594 Atlantic Ave East Rockaway,  NY
177 Forest Ave Glen Cove,  NY
132 Fulton Ave Hempstead,  NY
605 Woodfield Rd West Hempstead,  NY
50 Cherry Valley Ave West Hempstead,  NY
2525 Hempstead Tpke East Meadow,  NY
2425 Hempstead Tpke East Meadow,  NY
2160 Merrick Mall Merrick,  NY
3577 Long Beach Rd Oceanside,  NY
351 Merrick Rd Amityville,  NY
555 W Montauk Hwy West Babylon,  NY
575 W Montauk Hwy West Babylon,  NY
88 Golding Ave West Babylon,  NY
533 Montauk Hwy Rte 27a Bay Shore,  NY
250 Pond Path Centereach,  NY
275 Middle Country Rd Coram,  NY
421 Commack Rd Deer Park,  NY
2650 Sunrise Hwy East Islip,  NY
3126 Jericho Tpke East Northport,  NY
158 Route 25a East Setauket,  NY
1100 E Jericho Tpke Huntington,  NY
1730 Veterans Hwy Islandia,  NY
3750 Hempstead Tpke Levittown,  NY
PO Box 7508 Islandia,  NY
4938 Merrick Rd Massapequa Park,  NY
70060 Patchogue Yaphank Medford,  NY
Route 25a Medford,  NY
385 Route 25a Miller Place,  NY
Route 25a Miller Place,  NY
454 Fort Salonga Rd Northport,  NY
295 Pine Hollow Rd Oyster Bay,  NY
275 Pine Hollow Rd Oyster Bay,  NY
1108 Route 112 Port Jefferson Station,  NY
Port Jefferson,  NY
425 Portion Rd Ronkonkoma,  NY
5705 Sunrise Hwy Sayville,  NY
191 N Main St Sayville,  NY
291 W Main St Smithtown,  NY
400 Union Blvd West Islip,  NY
8101 Jericho Tpke Woodbury,  NY
16 W Village Grn Hicksville,  NY
530 W Old Country Rd Hicksville,  NY
1615 Old Country Rd Riverhead,  NY
999 Montauk Hwy Shirley,  NY
21 Lark St Troy,  NY
1328 Beekman Rd Hopewell Junction,  NY
1429 Route 300 Newburgh,  NY
10 New Paltz Plz New Paltz,  NY
271 Main St New Paltz,  NY
73 Us Highway 9 S Rhinebeck,  NY
6734 Route 9 Rhinebeck,  NY
Us Highway 9 N Rhinebeck,  NY
1357 Us Highway 9 Wappingers Falls,  NY
1357 Route 9 Wappingers Falls,  NY
2540 South Road Poughkeepsie,  NY
483 South Rd Poughkeepsie,  NY
59 Burnett Blvd Poughkeepsie,  NY
925 Onondaga Ave Syracuse,  NY
927 Onondaga Ave Syracuse,  NY
391 Chili Ave Rochester,  NY
2000 Washington St Jamestown,  NY
118 Loder St Hornell,  NY
215 N Central Ave Hartsdale,  NY
1260 Boston Post Rd Larchmont,  NY
727 Post Rd Scarsdale,  NY
130 Court St Brooklyn,  NY
1280 W Broadway Hewlett,  NY
1940 Merrick Ave Merrick,  NY
233 Merrick Ave Merrick,  NY
3418 Long Beach Rd Oceanside,  NY
5010 Jericho Tpke Commack,  NY
139 Alexander Ave Lake Grove,  NY
54 E Main St Pawling,  NY
916 Floyd Ave Rome,  NY
10881 Us Route 11 Adams,  NY
493 E 138th St Bronx,  NY
470 Route 211 E Middletown,  NY
288 Larkin Dr Monroe,  NY
279 Troy Road East Greenbush,  NY
1541 Route 9 Clifton Park,  NY
1549 Route 9 Clifton Park,  NY
311 Route 9w Glenmont,  NY
141 Washington Avenue Ext Albany,  NY
200 Dutch Meadows Ln Schenectady,  NY
30 Catskill Cmns Catskill,  NY
26 W Merritt Blvd Fishkill,  NY
1201 Route 300 Newburgh,  NY
41 Anawana Rd Monticello,  NY
891 State Route 9 Queensbury,  NY
4765 Commercial Dr Nw Hartford,  NY
16 Old Gick Rd Saratoga Springs,  NY
1134 Wicker St Ticonderoga,  NY
25 Consumer Sq Plattsburgh,  NY
3222 State Route 11 Malone,  NY
5399 W Genesee St Camillus,  NY
3018 East Avenue Central Square,  NY
8064 Brewerton Rd Cicero,  NY
1818 State Route 3 Fulton,  NY
103 N Caroline St Herkimer,  NY
7155 State Route 12 Lowville,  NY
4765 Commercial Dr New Hartford,  NY
2024 Genesee St Oneida,  NY
5815 Rome Taberg Rd Rome,  NY
710 Horatio St Utica,  NY
25479 James St Calcium,  NY
25737 Us Route 11 Evans Mills,  NY
26801 Anabel Ave Evans Mills,  NY
43 Stephenville St Massena,  NY
7494 Us Highway 11 Potsdam,  NY
5396 State Highway 12 Norwich,  NY
5054 State Highway 23 Oneonta,  NY
428 Walton Drive Plymouth,  NY
4133 Veterans Memorial Dr Batavia,  NY
10401 Bennett Rd Fredonia,  NY
317 N Cascade Dr Springville,  NY
5033 Transit Rd Clarence,  NY
13858 State Route 31 Albion,  NY
6265 Brockport Spencerport Rd Brockport,  NY
4238 Recreation Dr Canandaigua,  NY
4235 Veteran Dr Geneseo,  NY
425 State Route 31 Macedon,  NY
1490 Hudson Ave Rochester,  NY
1200 Marketplace Dr Rochester,  NY
2150 Chili Ave Rochester,  NY
350 E Fairmount Ave Lakewood,  NY
1400 County Route 64 Horseheads,  NY
3217 Silverback Ln Painted Post,  NY
515 E 4th St Watkins Glen,  NY
3830 Dyre Ave Bronx,  NY
10105 Western Tpke Delanson,  NY
Bradley Meadows Shopng Ctr Woodstock,  NY
543 E 183rd St Bronx,  NY
12822 Liberty Ave South Richmond Hill,  NY
270 Jerusalem Ave Hempstead,  NY
142 W Houston St New York,  NY
535 St New York,  NY
6308 State Route 9 Chestertown,  NY
2525 State Route 9n Au Sable Forks,  NY
1716 Front St Keeseville,  NY
352 Genesee St Auburn,  NY
1122 Mohawk St Utica,  NY
12775 Broadway St Alden,  NY
658 Main St Arcade,  NY
390 W Main St Batavia,  NY
4777 Transit Rd Depew,  NY
6914 Erie Rd Derby,  NY
9660 Transit Rd East Amherst,  NY
3949 Lockport Olcott Rd Lockport,  NY
5827 S Transit Rd Lockport,  NY
1385 Nash Rd North Tonawanda,  NY
184 S Cascade Dr Springville,  NY
1740 Sheridan Dr At Delaware Rd Buffalo,  NY
2101 Elmwood Ave Buffalo,  NY
6363 Main St Buffalo,  NY
1740 Sheridan Dr Buffalo,  NY
3865 Union Rd Buffalo,  NY
3980 Maple Rd Buffalo,  NY
100 Allied Dr Buffalo,  NY
1000 Portage Rd Niagara Falls,  NY
4235 Military Rd Niagara Falls,  NY
408 West Ave Albion,  NY
Pyramid Mall Routes 5 20 Geneva,  NY
Pyramid Mall Rte 5 20 Geneva,  NY
6272 Furnace Rd Ontario,  NY
1854 Empire Blvd Webster,  NY
93 Elmore Dr Rochester,  NY
309 W Morris St Bath,  NY
299 S Main St Elmira,  NY
Staten Island,  NY
25910 Union Tpke Glen Oaks,  NY
2124 Northern Blvd Manhasset,  NY
2475 Jericho Tpke New Hyde Park,  NY
8121 New Utrecht Ave Brooklyn,  NY
2149 Ralph Ave Brooklyn,  NY
3100 Ocean Ave Brooklyn,  NY
1871 Rockaway Pkwy Brooklyn,  NY
13311 20th Ave College Point,  NY
14524 17th Ave Whitestone,  NY
15301 10th Ave Whitestone,  NY
3509 Francis Lewis Blvd Flushing,  NY
21315 26th Ave Bayside,  NY
4640 Francis Lewis Blvd Bayside,  NY
24202 61st Ave Little Neck,  NY
19835 Horace Harding Expy Fresh Meadows,  NY
7555 31st Ave East Elmhurst,  NY
15601 Crossbay Blvd Howard Beach,  NY
8235 153rd Ave Howard Beach,  NY
25910 Union Tpke Bellerose,  NY
1050 Willis Ave Albertson,  NY
1050 Wales Pl Baldwin,  NY
905 Atlantic Ave Baldwin,  NY
2 Westbury Ave Carle Place,  NY
1530 Front St East Meadow,  NY
345 Rockaway Tpke Lawrence,  NY
85 Long Beach Plz Long Beach,  NY
399 Ocean Ave Lynbrook,  NY
1686 Merrick Rd Merrick,  NY
3600 Long Beach Rd Oceanside,  NY
3620 Long Beach Rd Oceanside,  NY
500 W Merrick Rd Valley Stream,  NY
11215 Beach Channel Dr Rockaway Park,  NY
Hubbards Path West Babylon,  NY
1934 Middle Country Rd Centereach,  NY
1 Boulevard Ave Central Islip,  NY
40 Vanderbilt Motor Pkwy Commack,  NY
Deer Park Ave Deer Park,  NY
300 E Main St East Islip,  NY
4054 Nesconset Hwy East Setauket,  NY
450 Main St Farmingdale,  NY
777 Pulaski Rd Greenlawn,  NY
328 Union Ave Holbrook,  NY
60 Wall St Huntington,  NY
Huntington,  NY
890 Walt Whitman Rd Melville,  NY
3335 Hempstead Tpke Levittown,  NY
Bunting Ln Levittown,  NY
60 E Hoffman Ave Lindenhurst,  NY
702 Hicksville Rd Massapequa,  NY
5500 Sunrise Hwy Massapequa,  NY
4560 Sunrise Hwy Oakdale,  NY
440 S Service Rd Patchogue,  NY
655 Montauk Hwy Patchogue,  NY
245 Route 25a Rocky Point,  NY
601 Portion Rd Ronkonkoma,  NY
211 Middle Country Rd Selden,  NY
124 E Main St Smithtown,  NY
1236 Veterans Hwy Hauppauge,  NY
2162 Nesconset Hwy Stony Brook,  NY
910 S Broadway Hicksville,  NY
259 10th St Hicksville,  NY
1510 Old Country Rd Riverhead,  NY
812 Main St Center Moriches,  NY
66 Newtown Ln East Hampton,  NY
Newtown Ln East Hampton,  NY
10095 Main Rd Mattituck,  NY
23 Jagger Ln Southampton,  NY
Sunset Ave Westhampton Beach,  NY
1346 State Route 3 Morrisonville,  NY
3 West Ave Albion,  NY
9169 State Route 5 And 20 Bloomfield,  NY
13 Lake St Le Roy,  NY
2371 Spencerport Rd Spencerport,  NY
202 W Main St Falconer,  NY
269 Main St Randolph,  NY
Warrensburg,  NY
6363 Transit Rd Depew,  NY
Union Rd George Urban Rd Depew,  NY
Niagara Falls Boulevard And East Amherst,  NY
Transit Rd N French East Amherst,  NY
65 Grey St East Aurora,  NY
S6150 S Park Ave Hamburg,  NY
906 Center St Lewiston,  NY
